transaction_id,sender_id,receiver_id,amount,timestamp
TXN_001,ACC_001,ACC_002,5000,2024-01-01 10:00:00
TXN_002,ACC_002,ACC_003,4800,2024-01-01 11:00:00
TXN_003,ACC_003,ACC_001,4600,2024-01-01 12:00:00
TXN_004,ACC_004,ACC_005,2000,2024-01-02 09:00:00
TXN_005,ACC_005,ACC_006,1900,2024-01-02 10:00:00
TXN_006,ACC_006,ACC_007,1800,2024-01-02 11:00:00
TXN_007,ACC_007,ACC_004,1700,2024-01-02 12:00:00
TXN_008,ACC_101,ACC_200,500,2024-01-03 08:00:00
TXN_009,ACC_102,ACC_200,450,2024-01-03 09:00:00
TXN_010,ACC_103,ACC_200,480,2024-01-03 10:00:00
TXN_011,ACC_104,ACC_200,520,2024-01-03 11:00:00
TXN_012,ACC_105,ACC_200,490,2024-01-03 12:00:00
TXN_013,ACC_106,ACC_200,510,2024-01-03 13:00:00
TXN_014,ACC_107,ACC_200,470,2024-01-03 14:00:00
TXN_015,ACC_108,ACC_200,530,2024-01-03 15:00:00
TXN_016,ACC_109,ACC_200,460,2024-01-03 16:00:00
TXN_017,ACC_110,ACC_200,540,2024-01-03 17:00:00
TXN_018,ACC_111,ACC_200,550,2024-01-03 18:00:00
TXN_019,ACC_200,ACC_301,5500,2024-01-03 20:00:00
TXN_020,ACC_008,ACC_009,3000,2024-01-04 10:00:00
TXN_021,ACC_009,ACC_010,2900,2024-01-04 11:00:00
TXN_022,ACC_010,ACC_008,2800,2024-01-04 12:00:00
TXN_023,ACC_SHELL1,ACC_SHELL2,8000,2024-01-05 10:00:00
TXN_024,ACC_SHELL2,ACC_SHELL3,7800,2024-01-05 11:00:00
TXN_025,ACC_SHELL3,ACC_FINAL,7600,2024-01-05 12:00:00
TXN_026,ACC_PAYROLL,ACC_EMP01,3000,2024-01-06 09:00:00
TXN_027,ACC_PAYROLL,ACC_EMP02,3000,2024-01-06 09:01:00
TXN_028,ACC_PAYROLL,ACC_EMP03,3000,2024-01-06 09:02:00
TXN_029,ACC_PAYROLL,ACC_EMP04,3000,2024-01-06 09:03:00
TXN_030,ACC_PAYROLL,ACC_EMP05,3000,2024-01-06 09:04:00
TXN_031,ACC_PAYROLL,ACC_EMP06,3000,2024-01-06 09:05:00
TXN_032,ACC_PAYROLL,ACC_EMP07,3000,2024-01-06 09:06:00
TXN_033,ACC_PAYROLL,ACC_EMP08,3000,2024-01-06 09:07:00
TXN_034,ACC_PAYROLL,ACC_EMP09,3000,2024-01-06 09:08:00
TXN_035,ACC_PAYROLL,ACC_EMP10,3000,2024-01-06 09:09:00
TXN_036,ACC_PAYROLL,ACC_EMP11,3000,2024-01-06 09:10:00
TXN_037,ACC_PAYROLL,ACC_EMP12,3000,2024-01-06 09:11:00
TXN_038,ACC_020,ACC_021,15000,2024-01-07 10:00:00
TXN_039,ACC_021,ACC_022,14500,2024-01-07 11:00:00
TXN_040,ACC_022,ACC_023,14000,2024-01-07 12:00:00
TXN_041,ACC_023,ACC_024,13500,2024-01-07 13:00:00
TXN_042,ACC_024,ACC_020,13000,2024-01-07 14:00:00
